# conv units database -- Jaime Ortiz
# ======================================================================
# FROM       TO              FACTOR             CONSTANT        EXPONENT
# AREA
ft2          m2              0.0929             0.0             1.0
in2          m2             6.452e-4            0.0             1.0
# DENSITY
kg/m3        lbm/ft3         0.0624297          0.0             1.0
kg/m3        slug/ft3        0.0019403          0.0             1.0
# ENERGY
J            kJ              0.001              0.0             1.0
J            BTU             9.477775e-4        0.0             1.0
kJ           BTU             0.9477775          0.0             1.0
# ENTROPY
J/K          BTU/R           5.265374e-4        0.0             1.0
# FORCE
N            lbf             0.22482014         0.0             1.0
# FUEL CONSUMPTION
km/L         l/100km       100.0                0.0            -1.0
km/L         L/100km       100.0                0.0            -1.0
km/l         l/100km       100.0                0.0            -1.0
km/l         L/100km       100.0                0.0            -1.0
km/L         mi/gal          2.3509316          0.0             1.0
km/l         mi/gal          2.3509316          0.0             1.0
km/L         mpg             2.3509316          0.0             1.0
km/l         mpg             2.3509316          0.0             1.0
L/100km      km/L          100.0                0.0            -1.0
L/100km      km/l          100.0                0.0            -1.0
l/100km      km/L          100.0                0.0            -1.0
l/100km      km/l          100.0                0.0            -1.0
L/100km      mpg           235.0931677          0.0            -1.0
l/100km      mpg           235.0931677          0.0            -1.0
mi/gal       km/L            0.4253632          0.0             1.0
mi/gal       km/l            0.4253632          0.0             1.0
mi/gal       L/100km       235.0931677          0.0            -1.0
mi/gal       l/100km       235.0931677          0.0            -1.0
mpg          km/L            0.4253632          0.0             1.0
mpg          km/l            0.4253632          0.0             1.0
mpg          L/100km       235.0931677          0.0            -1.0
mpg          l/100km       235.0931677          0.0            -1.0
# HEAT FLOW RATE
W            BTU/h           3.411804           0.0             1.0
kW           BTU/s           0.94777746         0.0             1.0
# HEAT TRANSFER COEFFICIENT
W/m2K        BTU/hft2F       0.17611835         0.0             1.0
# MASS
g            kg              0.0001             0.0             1.0
kg           g            1000.0                0.0             1.0
kg           lbm             0.4536             0.0             1.0
lbm          g             453.6                0.0             1.0
lbm          kg              0.4536             0.0             1.0
slug         kg            14.594               0.0             1.0
# TEMPERATURE
F            C               0.5555555556     -17.7777777778    1.0
F            K               0.5555555556     255.37223         1.0
F            F               1.0                0.0             1.0
F            R               1.0              459.67            1.0
